EconomiasPassadas[1[R$17.286,01[05/05/2021[01-Tranferencia Recebida]
Chevette + Celta[1[R$18.000,00[10/05/2021[01-Tranferencia Recebida]
Chevette + Celta[1[R$18.000,00[10/05/2021[02-Emprestei]
Tesouro Prefixado 2024[4[R$7,82[14/05/2021[06-Investimento em Tesouro]
Renda Fixa[1[R$100,00[10/06/2021[04-Investimento em Renda Fixa]
Tesouro Selic 2024[1[R$108,14[28/06/2021[06-Investimento em Tesouro]
Tesouro Selic 2024[1[R$108,23[05/07/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[1[R$107,56[22/07/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[5[R$107,79[04/08/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[36[R$108,38[15/09/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[14[R$108,67[01/10/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[32[R$108,92[11/10/2021[06-Investimento em Tesouro]
Tesouro Selic 2027[46[R$109,67[16/11/2021[06-Investimento em Tesouro]
Seg-Des[1[R$1.912,00[18/11/2021[01-Tranferencia Recebida]
Seg-Des[1[R$1.912,00[18/12/2021[01-Tranferencia Recebida]
Tesouro Selic 2027[45[R$110,63[21/12/2021[06-Investimento em Tesouro]
Seg-Des[1[R$2.055,00[18/01/2022[01-Tranferencia Recebida]
FII KNCR11[3[R$102,02[24/01/2022[08-Investimento em FIIs]
Rendimentos KNCR11[3[R$0,82[11/02/2022[10-Dividendos do FIIs]
FII KNCR11[7[R$100,00[11/02/2022[08-Investimento em FIIs]
FII XPML11[10[R$95,33[11/02/2022[08-Investimento em FIIs]
Seg-Des[1[R$2.055,00[16/02/2022[01-Tranferencia Recebida]
FII BCFF11[18[R$69,45[17/02/2022[08-Investimento em FIIs]
FII KNCR11[9[R$99,80[22/02/2022[08-Investimento em FIIs]
FII XPML11[9[R$91,70[22/02/2022[08-Investimento em FIIs]
Rendimentos XPML11[10[R$0,60[25/02/2022[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$0,12[26/02/2022[10-Dividendos do FIIs]
Barbeador Antigo[1[R$4,96[27/02/2022[00-Transferencia Enviada]
Corte Cabelo[1[R$18,00[02/03/2022[00-Transferencia Enviada]
key drop CSGO[1[R$26,31[09/03/2022[00-Transferencia Enviada]
Presente Vó[1[R$200,00[10/03/2022[01-Tranferencia Recebida]
Faca Valorant[1[R$139,90[11/03/2022[00-Transferencia Enviada]
Pilhas[1[R$24,82[11/03/2022[00-Transferencia Enviada]
Renovação CNH[1[R$114,49[11/03/2022[00-Transferencia Enviada]
Rendimentos KNCR11[19[R$0,83[14/03/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[18[R$0,54[15/03/2022[10-Dividendos do FIIs]
Seg-Des[1[R$2.055,00[18/03/2022[01-Tranferencia Recebida]
Exame CNH[1[R$169,30[22/03/2022[00-Transferencia Enviada]
Mercado[1[R$20,95[22/03/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,64[25/03/2022[10-Dividendos do FIIs]
Pizza[1[R$37,00[28/03/2022[00-Transferencia Enviada]
GRU Devolução[1[R$257,56[29/03/2022[00-Transferencia Enviada]
Recarga Cel Oi[1[R$10,00[31/03/2022[00-Transferencia Enviada]
Chip Vivo[1[R$15,00[01/04/2022[00-Transferencia Enviada]
Rendimentos CDI MP[1[R$24,42[11/04/2022[10-Dividendos do FIIs]
Rendimentos KNCR11[19[R$1,00[13/04/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[18[R$0,54[14/04/2022[10-Dividendos do FIIs]
Mercado[1[R$3,00[17/04/2022[00-Transferencia Enviada]
Laminas Shopee[1[R$15,99[18/04/2022[00-Transferencia Enviada]
Microfone Shopee[1[R$73,49[18/04/2022[00-Transferencia Enviada]
Fone Shopee[1[R$23,67[22/04/2022[00-Transferencia Enviada]
Recarga Cel Vivo[1[R$15,00[22/04/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,66[25/04/2022[10-Dividendos do FIIs]
Valorant[1[R$16,90[25/04/2022[00-Transferencia Enviada]
Rendimentos CDI MP[1[R$21,01[26/04/2022[10-Dividendos do FIIs]
Corte Cabelo[1[R$18,00[05/05/2022[00-Transferencia Enviada]
Dia das Mães e niver do Pai[1[R$200,00[06/05/2022[00-Transferencia Enviada]
Rendimentos KNCR11[19[R$0,97[12/05/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[18[R$0,54[13/05/2022[10-Dividendos do FIIs]
Rendimentos XPML11[19[R$0,68[25/05/2022[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$3,14[27/05/2022[10-Dividendos do FIIs]
FII BCFF11[2[R$66,05[03/06/2022[08-Investimento em FIIs]
Jogo Stardew Valley[1[R$16,36[07/06/2022[00-Transferencia Enviada]
Renda Fixa[1[R$100,00[10/06/2022[05-Resgate Renda Fixa]
Rendimentos Renda Fixa[1[R$6,77[10/06/2022[10-Dividendos do FIIs]
Vivo Recarga[1[R$15,00[10/06/2022[00-Transferencia Enviada]
Capinha Celular[1[R$15,00[12/06/2022[00-Transferencia Enviada]
Rendimentos KNCR11[19[R$1,08[13/06/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[20[R$0,54[14/06/2022[10-Dividendos do FIIs]
Corte Cabelo[1[R$28,00[14/06/2022[00-Transferencia Enviada]
RJ45[1[R$1,50[14/06/2022[00-Transferencia Enviada]
Almoço[1[R$82,53[18/06/2022[00-Transferencia Enviada]
Refrigerante[1[R$9,00[21/06/2022[00-Transferencia Enviada]
Capinha 2 tentativa[1[R$12,41[22/06/2022[00-Transferencia Enviada]
Lanche[1[R$22,31[22/06/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,68[24/06/2022[10-Dividendos do FIIs]
FII BCFF11[10[R$63,89[28/06/2022[08-Investimento em FIIs]
Internet[1[R$15,00[01/07/2022[00-Transferencia Enviada]
Taxa Tesouro[1[R$12,12[01/07/2022[00-Transferencia Enviada]
Pra gastar na conta do matheus[1[R$81,22[02/07/2022[00-Transferencia Enviada]
Rendimentos KNCR11[19[R$1,05[13/07/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,60[14/07/2022[10-Dividendos do FIIs]
Shampoo Anti Caspa[1[R$16,90[19/07/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,69[25/07/2022[10-Dividendos do FIIs]
Açai[1[R$34,50[26/07/2022[00-Transferencia Enviada]
Rendimentos CDI MP[1[R$15,26[11/08/2022[10-Dividendos do FIIs]
Rendimentos KNCR11[19[R$1,15[11/08/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[12/08/2022[10-Dividendos do FIIs]
Case HD[1[R$29,99[21/08/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,70[25/08/2022[10-Dividendos do FIIs]
Volante Nox[1[R$270,00[29/08/2022[01-Tranferencia Recebida]
FII JSRE11[10[R$88,40[30/08/2022[08-Investimento em FIIs]
Retirar cobre de bobina[1[R$50,00[08/09/2022[01-Tranferencia Recebida]
Rendimentos KNCR11[19[R$1,30[14/09/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[15/09/2022[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,49[15/09/2022[10-Dividendos do FIIs]
Corte Cabelo[1[R$28,00[22/09/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,73[23/09/2022[10-Dividendos do FIIs]
Chocolate[1[R$22,00[04/10/2022[00-Transferencia Enviada]
Rendimentos CDI MP[1[R$4,29[04/10/2022[10-Dividendos do FIIs]
Cebraspe Taxa[1[R$85,00[06/10/2022[00-Transferencia Enviada]
Ração Gato e Cão[1[R$17,00[13/10/2022[00-Transferencia Enviada]
Rendimentos KNCR11[19[R$1,20[14/10/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[17/10/2022[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,49[17/10/2022[10-Dividendos do FIIs]
Recarga Oi[1[R$10,00[19/10/2022[00-Transferencia Enviada]
Rendimentos XPML11[19[R$0,75[25/10/2022[10-Dividendos do FIIs]
Recarga Vivo[1[R$40,00[25/10/2022[00-Transferencia Enviada]
Pai[1[R$35,00[28/10/2022[01-Tranferencia Recebida]
Conta Oi[1[R$33,45[28/10/2022[00-Transferencia Enviada]
Pix Mae[1[R$20,00[11/11/2022[01-Tranferencia Recebida]
teste renda fixa[0[R$17,00[12/11/2022[04-Investimento em Renda Fixa]
Rendimentos KNCR11[19[R$1,10[14/11/2022[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[16/11/2022[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,49[16/11/2022[10-Dividendos do FIIs]
Pai final de semana[1[R$100,00[25/11/2022[01-Tranferencia Recebida]
Rendimentos XPML11[19[R$0,75[25/11/2022[10-Dividendos do FIIs]
Corte Cabelo[1[R$18,00[25/11/2022[00-Transferencia Enviada]
Mae[1[R$22,00[01/12/2022[00-Transferencia Enviada]
Rendimentos CDI MP[1[R$1,47[02/12/2022[10-Dividendos do FIIs]
Recarga vivo[1[R$30,00[02/12/2022[00-Transferencia Enviada]
Padaria[1[R$14,58[06/12/2022[00-Transferencia Enviada]
KNCR11[1[R$99,50[06/12/2022[08-Investimento em FIIs]
pro Matheus[1[R$10,00[03/12/2022[00-Transferencia Enviada]
Rendimento KNCR11[19[R$1,10[13/12/2022[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,49[14/12/2022[10-Dividendos do FIIs]
